globalid,wb_status,sovereign,L0_CODE,L0_NAME,Disputed,total_gdp,year,geo_level
{B94287F2-0B27-45BC-B7AF-60111E39B0FE},Member State,AFG,AFG1,Afghanistan,ND,73709.34392155257,2016,0
{AA0AE019-CF83-4299-9084-D5E35273213C},Member State,BGD,BGD23,Bangladesh,ND,720857.219446214,2016,0
{3FC7ED34-D84D-463B-983E-866678B569C2},Member State,BTN,BTN31,Bhutan,ND,8604.362406748294,2016,0
{0943151C-1D46-4F3A-AB98-D94DDF543FAF},Member State,IND,IND115,India,ND,7486427.341242202,2016,0
{049E06FB-6894-417A-98F0-BB1CD17633FE},Sovereignty unsettled,IND,IND115,India,ND,64185.59395334304,2016,0
{2AA6019F-D0DF-4E4D-A4BE-EDFDC751B8E5},Member State,LKA,LKA231,Sri Lanka,ND,236696.87564597177,2016,0
{0506123B-2CA4-4DAD-AED6-05593623357E},Member State,MDV,MDV154,Maldives,ND,23.484899574503235,2016,0
{F320A08B-491F-45F8-A207-CBB447B76CD9},Member State,NPL,NPL175,Nepal,ND,87151.12958115322,2016,0
{2B868A9A-DF01-450A-B5B8-6EC49D8F0E0E},Sovereignty unsettled,PAK,PAK188,Pakistan,ND,19514.389783858795,2016,0
{31F1F38B-99D3-433A-AD43-1672DA42B723},Member State,PAK,PAK188,Pakistan,ND,981362.930850769,2016,0
{B377BD43-D825-4E4F-9DEE-DD40E60DF843},,,DS38520,Arunchal Pradesh,D,7365.853393370217,2016,0
{C8EDC7B3-776C-4EB4-8978-437DD58F42FC},,,DS38521,Disputed - India/Pakistan,D,2.1225197234116133,2016,0
{61CB8DC7-30ED-4A01-AAE1-0A353AD75672},,,DS38522,"Disputed Area, China-India-Nepal",D,0.2909284008852166,2016,0
{A8517EA8-F98C-4DC4-8333-D4EC083C9D31},,,DS38523,Disputed Area - China-India,D,0.16196589447194729,2016,0
{1335C449-66FD-4C19-B19A-6E22CD9A780F},,,DS38524,Disputed Area - China-India,D,3.947895015001962,2016,0
{D9C8C764-8E7C-4AC7-A37B-788B2088A9A7},,,DS38525,Disputed Area - China-India,D,2.020888210581173,2016,0
{31DE8F0B-4611-476A-A151-1F4FEAEE4B7D},,,DS38526,Disputed Area - China-India,D,0.9276207633593202,2016,0
{3A9F7A7B-9CFE-493A-A3AB-D078C1633895},,,DS38527,Disputed - India/Pakistan,D,0.008405219370069453,2016,0
{124784D8-E389-455D-82AB-739ACE252840},,,DS38528,Disputed - India/Pakistan,D,9.733195754661782e-06,2016,0
{5D98F748-784D-4A87-9D5B-DE8CF56FE3BE},,,DS38529,Disputed - India/Pakistan,D,0.7555097560880579,2016,0
{F66E7BAD-677B-423B-92C5-120AD0AA2F24},,,DS38530,Disputed - India/Pakistan,D,49.08289659367341,2016,0
