globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,Disputed,total_gdp,year,geo_level
{BF972805-D507-4150-BBA4-CF3E198A7744},Member State,BTN,BTN31,Bhutan,BTN56,Thimphu,ND,1634.631415284237,2020,1.0
{C94E6BBB-FCC3-470E-B9F2-D64EA427C22F},Member State,BTN,BTN31,Bhutan,BTN57,Trashigang,ND,509.9486194025063,2020,1.0
{150235AD-5F26-4FD4-AE20-1CF9D7B2AE18},Member State,BTN,BTN31,Bhutan,BTN58,Trashiyangtse,ND,110.62731467254706,2020,1.0
{50D7658F-BA68-44DC-A0B6-26353F85598C},Member State,BTN,BTN31,Bhutan,BTN59,Trongsa,ND,100.6633804584577,2020,1.0
{50B79F7A-A5F7-4177-8F0E-24556356AC1F},Member State,BTN,BTN31,Bhutan,BTN60,Tsirang,ND,158.35700492230512,2020,1.0
{FD315383-81F5-4BAC-A739-0479D44586EE},Member State,BTN,BTN31,Bhutan,BTN61,Wangduephodrang,ND,565.5122137431163,2020,1.0
{EDDD4AA1-8072-4A61-8013-29496FF96686},Member State,BTN,BTN31,Bhutan,BTN62,Zhemgang,ND,124.00442064464077,2020,1.0
{145B99DE-A340-4EB9-A583-3DA3BB68D8AE},Member State,IND,IND115,India,IND63,Andaman and Nicobar Islands,ND,2825.6744297780638,2020,1.0
{0DE91711-070C-4B09-8479-29A6812CC848},Member State,IND,IND115,India,IND64,Andhra Pradesh,ND,395316.25539844803,2020,1.0
{13B12FA9-E9C2-488E-A765-B9BAAD07F804},Member State,IND,IND115,India,IND65,Arunachal Pradesh,ND,4811.805137928727,2020,1.0
{1F5D1269-36E6-41E1-B8C4-AE651A69011E},Member State,IND,IND115,India,IND66,Assam,ND,139775.9866323718,2020,1.0
{D5BA3CEA-CC2F-43DD-85CB-CA0B050E0568},Member State,IND,IND115,India,IND67,Bihar,ND,251803.16373607228,2020,1.0
{519F15AA-732A-4D4A-9B4C-11C6C028196A},Member State,IND,IND115,India,IND68,Chandigarh,ND,10366.16898077077,2020,1.0
{B9F765EE-5D72-4F3D-9098-FFFD64496B54},Member State,IND,IND115,India,IND69,Chhattisgarh,ND,139603.3884021224,2020,1.0
{382658BC-B3FC-4FD6-80A2-88C24B507528},Member State,IND,IND115,India,IND70,Dadra and Nagar Haveli,ND,3244.7905036099396,2020,1.0
{7CD2E8B8-9DE9-4E4E-9467-9C3046FBD084},Member State,IND,IND115,India,IND71,Daman and Diu,ND,886.1127355354035,2020,1.0
{5E3E2DF4-4059-46D0-BA32-A3C47889ABB3},Member State,IND,IND115,India,IND72,Delhi,ND,311436.84736276604,2020,1.0
{900B7A71-B991-410F-89B6-9315CBB614FE},Member State,IND,IND115,India,IND73,Goa,ND,24139.655540682863,2020,1.0
{C531AD0D-F995-4DFC-80F3-0A585F786E92},Member State,IND,IND115,India,IND74,Gujarat,ND,656916.008474933,2020,1.0
{CCA0C083-7039-4EBE-9054-D27C4B7138D8},Member State,IND,IND115,India,IND75,Haryana,ND,324835.96660007734,2020,1.0
{1CEA98D3-DF16-4EC6-AA40-A09E38E3357F},Member State,IND,IND115,India,IND76,Himachal Pradesh,ND,62016.185640797776,2020,1.0
{67378C3B-52F0-40CF-8772-AC586696CB68},Sovereignty unsettled,IND,IND115,India,IND77,Jammu and Kashmir,ND,67895.15828138414,2020,1.0
{FFA50951-E092-48F6-83A4-74F3352B0268},Member State,IND,IND115,India,IND78,Jharkhand,ND,134712.23207138272,2020,1.0
{5B18BCC4-CC88-4097-8AE6-AF619FECEC4E},Member State,IND,IND115,India,IND79,Karnataka,ND,699120.4003384693,2020,1.0
{76DD22A6-3E99-4E34-92E2-5CBC78122CF6},Member State,IND,IND115,India,IND80,Kerala,ND,361017.304411208,2020,1.0
{F142F183-3E79-47BA-B589-702878072C95},Member State,IND,IND115,India,IND81,Lakshadweep,ND,,,
{7A9C639C-DEEC-42B0-8FE5-987DE9A59DC8},Member State,IND,IND115,India,IND82,Madhya Pradesh,ND,391610.2622212784,2020,1.0
{64BABB3C-8C51-49E9-9A8D-96483E64347B},Member State,IND,IND115,India,IND83,Maharashtra,ND,1044156.1847043476,2020,1.0
{859AC7A7-4143-4409-914C-D95D7BEEFCC5},Member State,IND,IND115,India,IND84,Manipur,ND,12886.963383589733,2020,1.0
{C13FCF5B-0D53-4C1C-AA55-4DFC6008E26C},Member State,IND,IND115,India,IND85,Meghalaya,ND,16818.745405358655,2020,1.0
{4DF7A2CF-92F9-465C-87CB-E55455F5FBBC},Member State,IND,IND115,India,IND86,Mizoram,ND,9073.071388842982,2020,1.0
{1A9418EC-6A2F-4BCC-A6BD-842CC9233221},Member State,IND,IND115,India,IND87,Nagaland,ND,11005.438195632794,2020,1.0
{7D3BC68C-5BA9-4F05-A9E6-D29F1BD177EE},Member State,IND,IND115,India,IND88,Odisha,ND,215103.69630708062,2020,1.0
{31AD1CF9-5631-42DC-8983-4C36A6FFC0F0},Member State,IND,IND115,India,IND89,Puducherry,ND,6643.369556095356,2020,1.0
{9509B2DC-09ED-4BF1-A019-ACE3CBD3B66C},Member State,IND,IND115,India,IND90,Punjab,ND,217344.35465868752,2020,1.0
{BFB57468-7250-428E-B2E1-1CAE666DD8E2},Member State,IND,IND115,India,IND91,Rajasthan,ND,417501.77981255593,2020,1.0
{58CB92F0-61F3-4C2F-9703-4BCFF6CEED0B},Member State,IND,IND115,India,IND92,Sikkim,ND,11083.421753627114,2020,1.0
{D0691CB8-78A2-4D69-AD01-C2302F152F8A},Member State,IND,IND115,India,IND93,Tamil Nadu,ND,724654.4866032614,2020,1.0
{5C9F1375-BE9F-4473-B6BB-52BE29FE7E7B},Member State,IND,IND115,India,IND94,Telangana,ND,405890.05006424,2020,1.0
{4D69C366-0E8C-416C-A6C7-DD9DC7655190},Member State,IND,IND115,India,IND95,Tripura,ND,23573.597982761043,2020,1.0
{7B1F39F1-79A6-431A-A63A-8D1ED79D08B6},Member State,IND,IND115,India,IND96,Uttar Pradesh,ND,712180.2763415583,2020,1.0
{9ED45F62-1F0E-45AF-803E-59FB78F9BCEB},Member State,IND,IND115,India,IND97,Uttarakhand,ND,94365.46794861967,2020,1.0
{585E323A-8BC2-46B7-86E2-6594463071E3},Member State,IND,IND115,India,IND98,West Bengal,ND,505126.54302249546,2020,1.0
{03119880-5096-48D6-A6FA-17E284845269},Member State,LKA,LKA231,Sri Lanka,LKA99,Central,ND,30657.333494031707,2020,1.0
{B2BFB06E-42E2-4E3D-B24D-02794227ED66},Member State,LKA,LKA231,Sri Lanka,LKA100,Eastern,ND,12565.361445194518,2020,1.0
{897ADF27-A4FD-484A-9F97-522819F39498},Member State,LKA,LKA231,Sri Lanka,LKA101,North Central,ND,16392.162796761066,2020,1.0
{A565B9EF-8FE4-4CB9-9A81-9C45F445DE42},Member State,LKA,LKA231,Sri Lanka,LKA102,North Western,ND,28061.549834683763,2020,1.0
{73078F99-E75C-4733-9B03-5E3D3F7D0F5E},Member State,LKA,LKA231,Sri Lanka,LKA103,Northern,ND,8448.529458187839,2020,1.0
{BEC680CF-DAD5-4B5F-BC10-1B8BE4DD4D17},Member State,LKA,LKA231,Sri Lanka,LKA104,Sabaragamuwa,ND,23158.99006346802,2020,1.0
{42125BA8-617A-4D38-9A63-0E54B4443FE8},Member State,LKA,LKA231,Sri Lanka,LKA105,Southern,ND,23221.36045433084,2020,1.0
{F067A3D5-3AEE-466C-9358-4FFD54B4DC8E},Member State,LKA,LKA231,Sri Lanka,LKA106,Uva,ND,15079.273033777297,2020,1.0
{586B1823-1A35-4376-8C40-D3E17AE7AED6},Member State,LKA,LKA231,Sri Lanka,LKA107,Western,ND,84166.92846282043,2020,1.0
{F7777195-3EF4-4209-87F8-6BDF1F76DA92},Member State,MDV,MDV154,Maldives,MDV108,Alifu Alifu,ND,0.1872018254094831,2020,1.0
{5A7E8B7C-667E-4787-827C-E63DD2193921},Member State,MDV,MDV154,Maldives,MDV109,Alifu Dhaalu,ND,,,
{FFACA6BF-B52A-4B7F-BCCB-7A9167334770},Member State,MDV,MDV154,Maldives,MDV110,Baa,ND,0.001036258916760929,2020,1.0
{92FCF86C-56E7-409C-B3DB-2B41DF1618A8},Member State,MDV,MDV154,Maldives,MDV111,Dhaalu,ND,,,
{F53A2041-DCE8-453D-BA35-A8FB77F633F6},Member State,MDV,MDV154,Maldives,MDV112,Faafu,ND,0.09404041444326929,2020,1.0
{DE6AFCBD-0FB4-407C-809A-E9E76CEED233},Member State,MDV,MDV154,Maldives,MDV113,Gaafu Alifu,ND,0.02628458893362542,2020,1.0
{BE2CD986-079F-4E17-BEFE-CAD7BA928873},Member State,MDV,MDV154,Maldives,MDV114,Gaafu Dhaalu,ND,0.3356296865505811,2020,1.0
{0971EBC2-196F-4EE2-AB63-FD2A4A33CE4C},Member State,MDV,MDV154,Maldives,MDV115,Haa Alifu,ND,0.17781993399474477,2020,1.0
{7992667B-5DA4-4FFF-96E7-120C0EDB0DEC},Member State,MDV,MDV154,Maldives,MDV116,Haa Dhaalu,ND,0.43239623151001105,2020,1.0
{59BCA669-4E17-4BE4-B60F-B9F3153C9968},Member State,MDV,MDV154,Maldives,MDV117,Kaafu,ND,4.410324198746221,2020,1.0
{0FC5FE32-C39E-4B86-89CA-B5819B4D40BD},Member State,MDV,MDV154,Maldives,MDV118,Laamu,ND,2.046456448471698,2020,1.0
{7C6EC04E-EEC4-4C41-84D0-A52EF9B11004},Member State,MDV,MDV154,Maldives,MDV119,Lhaviyani,ND,,,
{319A648B-BC41-4FC2-B6FE-2BBEDDF16414},Member State,MDV,MDV154,Maldives,MDV120,Male',ND,1.6621650298618063,2020,1.0
{AB431A86-F448-4459-B1A4-C37D30E41B92},Member State,MDV,MDV154,Maldives,MDV121,Meemu,ND,0.08740597993903618,2020,1.0
{1D3B603D-EE30-4BA0-B920-DDA2C2A9A986},Member State,MDV,MDV154,Maldives,MDV122,Noonu,ND,,,
{90182063-4EEA-4458-8199-503CA8555485},Member State,MDV,MDV154,Maldives,MDV123,Raa,ND,0.038271171216039644,2020,1.0
{AD66FF8E-09A2-42CF-A704-DFA18E705EC4},Member State,MDV,MDV154,Maldives,MDV124,Seenu,ND,8.889331506955958,2020,1.0
{2375B9A2-B49A-4219-A288-04F9AE16892B},Member State,MDV,MDV154,Maldives,MDV125,Shaviyani,ND,,,
{FDD5204C-98B2-46F8-A8A4-C9190ADBD036},Member State,MDV,MDV154,Maldives,MDV126,Thaa,ND,0.056329539555524076,2020,1.0
{8421A786-E276-44FE-BAB2-5D1FA6D28389},Member State,MDV,MDV154,Maldives,MDV127,Vaavu,ND,,,
{6FAD772C-384F-4755-8C43-1C1CB50138CA},Member State,NPL,NPL175,Nepal,NPL128,Five,ND,13760.779807364137,2020,1.0
{22A0B741-CEB6-4454-8A20-2C5FAE992B4B},Member State,NPL,NPL175,Nepal,NPL129,Four,ND,6718.158490205616,2020,1.0
{31C96168-FE09-4AE0-B876-2C07E39A9669},Member State,NPL,NPL175,Nepal,NPL130,One,ND,18831.629631271204,2020,1.0
{28F80054-6DE6-42FE-8A9B-E6197A274995},Member State,NPL,NPL175,Nepal,NPL131,Seven,ND,7964.296262635945,2020,1.0
{5B30C4A0-CD54-47FB-80DF-88A6C6053DDF},Member State,NPL,NPL175,Nepal,NPL132,Six,ND,3505.4334910832254,2020,1.0
{FB9E6077-8266-4647-ACE5-BD974796A1C4},Member State,NPL,NPL175,Nepal,NPL133,Three,ND,31592.363309076547,2020,1.0
{1FEE6FC6-5814-4617-ADFB-9BF401E02716},Member State,NPL,NPL175,Nepal,NPL134,Two,ND,23331.217956943023,2020,1.0
{0C543148-C78B-4B65-BD60-68833D6A4286},Sovereignty unsettled,PAK,PAK188,Pakistan,PAK135,Azad Jammu and Kashmir,ND,14391.946577446573,2020,1.0
{0D6BAD89-D991-4988-BE58-F8741155DA11},Sovereignty unsettled,PAK,PAK188,Pakistan,PAK136,Gilgit Baltistan,ND,4338.477601854781,2020,1.0
{AC772336-D512-43EC-993A-3C9BFFA05597},Member State,PAK,PAK188,Pakistan,PAK137,Balochistan,ND,26810.91069900048,2020,1.0
{B5E557B7-9F5E-4894-AACD-F6872F936BE2},Member State,PAK,PAK188,Pakistan,PAK138,Khyber Pakhtunkhwa,ND,5809.998625122963,2020,1.0
{47650FF8-1FED-4EA9-AB16-BCDE5E78065F},Member State,PAK,PAK188,Pakistan,PAK138,Khyber Pakhtunkhwa,ND,2027.7527078628311,2020,1.0
{76CCE6AB-11F9-4857-8A76-EAB290604DC2},Member State,PAK,PAK188,Pakistan,PAK138,Khyber Pakhtunkhwa,ND,12807.571718317871,2020,1.0
{AB36E4AD-3CBF-43B3-9DD4-AA0C00BD4CE3},Member State,PAK,PAK188,Pakistan,PAK139,Federal Capital Territory,ND,14927.922072288002,2020,1.0
{F5A4B240-21B8-40F8-BDB5-698C82992821},Member State,PAK,PAK188,Pakistan,PAK138,Khyber Pakhtunkhwa,ND,125102.51829939116,2020,1.0
{1928130C-316F-4ADC-8A3D-45FB040E5A52},Member State,PAK,PAK188,Pakistan,PAK138,Khyber Pakhtunkhwa,ND,1674.2478006271313,2020,1.0
{75E5F0AB-BEFD-4528-B88D-81C901E0996F},Member State,PAK,PAK188,Pakistan,PAK140,Punjab,ND,683571.4766271602,2020,1.0
{97ECD41F-814B-45B4-942C-B72819A7FCFA},Member State,PAK,PAK188,Pakistan,PAK141,Sindh,ND,225773.79926521968,2020,1.0
{B377BD43-D825-4E4F-9DEE-DD40E60DF843},,,DS38520,Arunchal Pradesh,DS38520,Arunchal Pradesh,D,9099.847467635882,2020,1.0
{C8EDC7B3-776C-4EB4-8978-437DD58F42FC},,,DS38521,Disputed - India/Pakistan,DS38521,Disputed - India/Pakistan,D,2.2367807199384635,2020,1.0
{61CB8DC7-30ED-4A01-AAE1-0A353AD75672},,,DS38522,"Disputed Area, China-India-Nepal",DS38522,"Disputed Area, China-India-Nepal",D,0.3150292807445755,2020,1.0
{A8517EA8-F98C-4DC4-8333-D4EC083C9D31},,,DS38523,Disputed Area - China-India,DS38523,Disputed Area - China-India,D,0.13249852562030096,2020,1.0
{1335C449-66FD-4C19-B19A-6E22CD9A780F},,,DS38524,Disputed Area - China-India,DS38524,Disputed Area - China-India,D,3.8747204414911214,2020,1.0
{D9C8C764-8E7C-4AC7-A37B-788B2088A9A7},,,DS38525,Disputed Area - China-India,DS38525,Disputed Area - China-India,D,2.250065693367877,2020,1.0
{31DE8F0B-4611-476A-A151-1F4FEAEE4B7D},,,DS38526,Disputed Area - China-India,DS38526,Disputed Area - China-India,D,0.8449515992996999,2020,1.0
{3A9F7A7B-9CFE-493A-A3AB-D078C1633895},,,DS38527,Disputed - India/Pakistan,DS38527,Disputed - India/Pakistan,D,0.008576481223564594,2020,1.0
{124784D8-E389-455D-82AB-739ACE252840},,,DS38528,Disputed - India/Pakistan,DS38528,Disputed - India/Pakistan,D,9.93151599735649e-06,2020,1.0
{5D98F748-784D-4A87-9D5B-DE8CF56FE3BE},,,DS38529,Disputed - India/Pakistan,DS38529,Disputed - India/Pakistan,D,0.7092042619530231,2020,1.0
{F66E7BAD-677B-423B-92C5-120AD0AA2F24},,,DS38530,Disputed - India/Pakistan,DS38530,Disputed - India/Pakistan,D,52.714711309926294,2020,1.0
